fkey,sos_detected_date,predicted_sowing_date,sos_detected_dop,predicted_sowing_dop,sow_date_survey,sow_dop_survey,Di_estimated_observed,approach,sensor,smooth
393,2022-12-04,2022-11-24,337,327,2022-12-18,351,-24 days,minimum,MODIS,spline
421,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
421,2022-12-18,2022-12-08,351,341,2022-11-19,322,19 days,minimum,MODIS,spline
424,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
424,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
426,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
426,2022-12-19,2022-12-09,352,342,2022-11-20,323,19 days,minimum,MODIS,spline
427,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
427,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
435,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
435,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
