geo,id,mask,millis,BLUE,COASTAL,GREEN,NDVI,NIR,RED,SWIR1,SWIR2,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,1_T44RRP_20221106T045959,1.0,1667710799000,0.015213648293963255,0.01129186351706037,0.03526194225721785,0.7487462820086307,0.18435354330708664,0.026533070866141734,0.06805958005249343,0.03111994750656168,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221106T045959,435,2022-11-06 04:59:59,2022-11-06
,2_T44RRP_20221111T044920,1.0,1668142160000,0.03513884514435695,0.013654068241469816,0.08739501312335958,0.4896445094269401,0.24731128608923886,0.08473569553805776,0.15307480314960634,0.08485721784776903,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221111T044920,435,2022-11-11 04:49:20,2022-11-11
,2_T45RTJ_20221111T044920,1.0,1668142160000,0.035952755905511814,0.01644146981627297,0.08808740157480316,0.5021061679845275,0.25582467191601055,0.08474566929133859,0.15441364829396326,0.0855212598425197,5,0,5,1079.757936006434,0.0,1079.757936006434,20221111T044920,435,2022-11-11 04:49:20,2022-11-11
,1_T44RRP_20221111T050031,1.0,1668142831000,0.02608267716535433,0.01987191601049869,0.05098582677165356,0.6543684188312618,0.24083018372703413,0.050308136482939636,0.14625905511811024,0.07956955380577428,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221111T050031,435,2022-11-11 05:00:31,2022-11-11
,1_T45RTJ_20221111T050031,1.0,1668142831000,0.026112335958005252,0.02039448818897638,0.05315249343832021,0.652278077550228,0.24880498687664043,0.052306561679790024,0.14868267716535435,0.07870341207349082,5,0,5,1079.757936006434,0.0,1079.757936006434,20221111T050031,435,2022-11-11 05:00:31,2022-11-11
,1_T44RRP_20221113T045039,1.0,1668315039000,0.031824409448818904,0.03118556430446194,0.058939370078740165,0.5846748476606735,0.24728241469816276,0.06489160104986876,0.17449790026246725,0.10319763779527559,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221113T045039,435,2022-11-13 04:50:39,2022-11-13
,1_T45RTJ_20221113T045039,1.0,1668315039000,0.03433622047244095,0.031729921259842524,0.0627233595800525,0.5864107500322336,0.2615653543307087,0.06823937007874016,0.1833564304461942,0.10734225721784776,5,0,5,1079.757936006434,0.0,1079.757936006434,20221113T045039,435,2022-11-13 04:50:39,2022-11-13
,1_T44RRP_20221116T050049,1.0,1668574849000,0.03175380577427822,0.024969816272965878,0.055406824146981636,0.5349047709214534,0.23213490813648296,0.07055616797900263,0.1881160104986877,0.1089698162729659,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221116T050049,435,2022-11-16 05:00:49,2022-11-16
,1_T45RTJ_20221116T050049,1.0,1668574849000,0.036852493438320214,0.026498950131233597,0.0633968503937008,0.5032831679362981,0.2462073490813648,0.08190341207349082,0.2114950131233596,0.12420367454068242,5,0,5,1079.757936006434,0.0,1079.757936006434,20221116T050049,435,2022-11-16 05:00:49,2022-11-16
,1_T44RRP_20221118T045101,1.0,1668747061000,0.04196509186351706,0.041544619422572183,0.06339291338582678,0.5163140656586309,0.24150813648293967,0.07713700787401576,0.2142188976377953,0.13362545931758532,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221118T045101,435,2022-11-18 04:51:01,2022-11-18
